店铺名	订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
私房小站（福田分店）	20160813817	周子轩	深圳	517	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-13 11:07:15
私房小站（番禺分店）	20160813786	王柯萌	广州	675	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-13 11:23:48
私房小站（福田分店）	20160813849	宁晨浩	深圳	614	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-13 11:44:31
私房小站（盐田分店）	20160813667	余思言	深圳	354	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-13 18:25:33
私房小站（越秀分店）	20160813654	龚倩	广州	511	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-13 19:16:49
私房小站（福田分店）	20160814809	关庭	深圳	514	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-14 11:34:45
私房小站（番禺分店）	20160814190	辛庚明	广州	378	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-14 11:42:11
私房小站（罗湖分店）	20160814839	冯晓婷	深圳	383	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-14 12:15:12
私房小站（天河分店）	20160814723	蓝振国	广州	602	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-14 17:22:59
私房小站（福田分店）	20160814543	刘东方	深圳	136	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-14 18:51:40
私房小站（盐田分店）	20160815698	余佳欣	深圳	720	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-15 19:02:10
私房小站（福田分店）	20160815625	吴冬雨	深圳	767	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-15 19:22:18
私房小站（越秀分店）	20160815664	国睿霄	广州	560	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-15 20:53:17
私房小站（罗湖分店）	20160816553	于靖	深圳	406	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-16 17:23:40
私房小站（福田分店）	20160816738	陆丽达	深圳	1027	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-16 20:05:21
私房小站（盐田分店）	20160817707	黄曼玉	深圳	1060	蒙古烤羊腿	48	4	25.0	羊肉类	微辣	2016-08-17 18:11:03
私房小站（天河分店）	20160817494	国子戈	广州	405	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-17 18:23:08
私房小站（越秀分店）	20160818640	蒲兮	广州	409	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-18 20:15:56
私房小站（盐田分店）	20160818564	木博谨	深圳	679	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-18 21:55:05
私房小站（番禺分店）	20160819621	王柯萌	广州	752	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-19 21:19:23
私房小站（禅城分店）	20160819746	王芊茹	佛山	843	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-19 21:41:31
私房小站（番禺分店）	20160819714	冷奉啸	广州	452	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-19 21:58:10
私房小站（天河分店）	20160820813	包达菲	广州	1018	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 11:40:13
私房小站（福田分店）	20160820896	蒲冰函	深圳	744	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 11:59:26
私房小站（福田分店）	20160820895	张建涛	深圳	585	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 12:18:12
私房小站（福田分店）	20160820869	高婧琪	深圳	311	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 12:19:51
私房小站（越秀分店）	20160820788	宁智睿	广州	484	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 12:44:12
私房小站（越秀分店）	20160820852	陶紫冉	广州	971	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 12:40:58
私房小站（番禺分店）	20160820216	张昭阳	广州	303	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 12:42:48
私房小站（天河分店）	20160820862	袁家蕊	广州	167	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 13:39:10
私房小站（越秀分店）	20160820833	牛雨萱	广州	823	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 13:53:46
私房小站（番禺分店）	20160820720	卫浩浩	广州	591	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 18:42:03
私房小站（福田分店）	20160820436	唐莉	深圳	403	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-20 19:05:55
私房小站（番禺分店）	20160821431	高泓翔	广州	1031	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 11:20:36
私房小站（罗湖分店）	20160821820	高鸿文	深圳	383	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 13:57:11
私房小站（番禺分店）	20160821529	尹警跃	广州	455	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 18:32:03
私房小站（顺德分店）	20160821580	司志康	佛山	755	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 18:30:55
私房小站（珠海分店）	20160821908	郑景明	珠海	655	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 20:52:17
私房小站（顺德分店）	20160821531	曾慧	佛山	331	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 21:49:19
私房小站（禅城分店）	20160821709	黄文轩	佛山	378	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-21 21:47:22
私房小站（罗湖分店）	20160822559	荆丰朵	深圳	562	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-22 17:45:39
私房小站（盐田分店）	20160823435	姜妮妮	深圳	398	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-23 13:26:17
私房小站（越秀分店）	20160823572	黄文轩	广州	612	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-23 17:08:26
私房小站（天河分店）	20160823730	余思言	广州	577	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-23 18:43:40
私房小站（福田分店）	20160824676	唐雅嘉	深圳	406	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-24 19:39:29
私房小站（番禺分店）	20160825345	张建涛	广州	456	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-25 11:39:07
私房小站（盐田分店）	20160825464	李海峰	深圳	689	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-25 19:36:58
私房小站（天河分店）	20160826639	赵玉倩	广州	650	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-26 17:54:08
私房小站（罗湖分店）	20160826552	唐轩	深圳	253	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-26 17:53:42
私房小站（天河分店）	20160826747	陈力	广州	795	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-26 19:51:08
私房小站（番禺分店）	20160827838	余佳欣	广州	550	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-27 11:23:24
私房小站（罗湖分店）	20160827866	刘斌义	深圳	736	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-27 12:10:45
私房小站（番禺分店）	20160827910	冷志冬	广州	511	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-27 20:45:06
私房小站（珠海分店）	20160828658	叶潇逸	珠海	459	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-28 18:01:28
私房小站（天河分店）	20160828450	曾天	广州	701	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-28 19:36:53
私房小站（罗湖分店）	20160828521	沈瑶	深圳	277	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-28 19:59:21
私房小站（福田分店）	20160828582	袁昊天	深圳	768	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-28 21:20:42
私房小站（天河分店）	20160828592	荆丰朵	广州	996	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-28 22:00:17
私房小站（罗湖分店）	20160829696	陈力	深圳	806	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-29 17:04:28
私房小站（罗湖分店）	20160830398	李海峰	深圳	980	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-30 11:26:25
私房小站（天河分店）	20160830387	李靖	广州	551	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-30 12:05:09
私房小站（越秀分店）	20160831695	陈宇	广州	810	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-31 20:30:38
私房小站（罗湖分店）	20160831570	唐雅嘉	深圳	589	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-31 21:30:57
私房小站（盐田分店）	20160801417	苗宇怡	深圳	165	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 11:07:40
私房小站（番禺分店）	20160801392	李小东	广州	704	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 13:03:59
私房小站（福田分店）	20160801429	苗泽坤	深圳	699	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 13:34:01
私房小站（天河分店）	20160801694	朱钰	广州	819	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 18:37:38
私房小站（福田分店）	20160801448	苗秋兰	深圳	609	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 21:39:48
私房小站（越秀分店）	20160802548	关庭	广州	850	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-02 19:00:21
私房小站（天河分店）	20160805451	刑欣可	广州	693	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-05 20:05:40
私房小站（罗湖分店）	20160805502	荆哲	深圳	473	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-05 21:04:50
私房小站（天河分店）	20160806434	仲才马	广州	721	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-06 11:20:05
私房小站（福田分店）	20160806865	夏昊然	深圳	794	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-06 13:03:16
私房小站（罗湖分店）	20160806872	刘爱梅	深圳	405	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-06 14:05:52
私房小站（盐田分店）	20160806712	卓亚萍	深圳	307	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-06 18:51:46
私房小站（盐田分店）	20160807844	张涵函	深圳	766	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 12:23:58
私房小站（越秀分店）	20160807875	李奇芳	广州	716	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 13:35:45
私房小站（禅城分店）	20160807881	魏乐	佛山	730	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 13:43:48
私房小站（天河分店）	20160807826	夏晴	广州	383	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 14:08:45
私房小站（福田分店）	20160807711	陶成芳	深圳	503	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 20:53:42
私房小站（罗湖分店）	20160808306	李鑫月	深圳	218	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-08 11:38:51
私房小站（越秀分店）	20160808571	赵茁然	广州	243	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-08 19:29:56
私房小站（福田分店）	20160809618	周东平	深圳	877	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-09 21:15:33
私房小站（天河分店）	20160810662	丰佳彤	广州	560	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-10 18:08:27
私房小站（越秀分店）	20160810764	范曜纲	广州	830	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-10 19:46:51
私房小站（福田分店）	20160811412	孙铎洫	深圳	270	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-11 12:07:37
私房小站（天河分店）	20160811726	俞子昕	广州	364	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-11 17:42:49
私房小站（天河分店）	20160812684	李小东	广州	511	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-12 18:21:26
私房小站（越秀分店）	20160812479	赵坤	广州	843	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-12 19:03:12
私房小站（福田分店）	20160812686	汪文昊	深圳	332	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-12 20:35:44
私房小站（番禺分店）	20160813786	王柯萌	广州	675	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-13 11:21:28
私房小站（福田分店）	20160813805	王锦鹏	深圳	789	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-13 11:34:21
私房小站（越秀分店）	20160813899	蓝梦琳	广州	612	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-13 12:20:34
私房小站（珠海分店）	20160813882	陈庆胜	珠海	516	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-13 12:40:32
私房小站（天河分店）	20160814847	牛永立	广州	745	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-14 12:35:26
私房小站（天河分店）	20160814701	王芊茹	广州	431	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-14 21:41:17
私房小站（珠海分店）	20160815648	陈力	珠海	807	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-15 18:36:23
私房小站（福田分店）	20160815625	吴冬雨	深圳	767	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-15 19:22:14
私房小站（越秀分店）	20160816744	章昱瑶	广州	229	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-16 18:53:25
私房小站（福田分店）	20160816770	李小东	深圳	225	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-16 21:20:51
私房小站（盐田分店）	20160817404	孙铎洫	深圳	788	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-17 14:00:45
私房小站（盐田分店）	20160818514	张娜	深圳	728	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-18 19:59:28
私房小站（越秀分店）	20160818640	蒲兮	广州	409	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-18 20:14:25
私房小站（盐田分店）	20160818564	木博谨	深圳	679	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-18 21:56:36
私房小站（罗湖分店）	20160819586	关庭	深圳	471	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-19 20:33:17
私房小站（福田分店）	20160819612	王潘潘	深圳	723	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-19 21:21:07
私房小站（盐田分店）	20160820793	张小雨	深圳	887	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-20 12:18:18
私房小站（天河分店）	20160821815	包家铭	广州	707	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-21 11:44:06
私房小站（珠海分店）	20160821790	易柯轩	珠海	425	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-21 14:05:37
私房小站（番禺分店）	20160821529	尹警跃	广州	455	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-21 18:31:24
私房小站（罗湖分店）	20160822691	王静	深圳	363	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-22 17:08:55
私房小站（越秀分店）	20160822532	曾天	广州	255	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-22 18:02:21
私房小站（番禺分店）	20160822626	赵倩	广州	578	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-22 19:41:25
私房小站（罗湖分店）	20160823318	杨依萱	深圳	958	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-23 12:23:43
私房小站（福田分店）	20160823609	李佩珊	深圳	411	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-23 18:12:14
私房小站（禅城分店）	20160825523	张小雨	佛山	351	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-25 20:54:33
私房小站（越秀分店）	20160826257	卢子翰	广州	599	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-26 13:27:27
私房小站（罗湖分店）	20160827821	张小雨	深圳	770	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-27 13:14:33
私房小站（番禺分店）	20160828890	卢俊恒	广州	743	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-28 11:41:46
私房小站（天河分店）	20160828466	许梓培	广州	1032	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-28 18:46:42
私房小站（天河分店）	20160828450	曾天	广州	701	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-28 19:44:34
私房小站（越秀分店）	20160828444	陶永潮	广州	837	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-28 20:51:56
私房小站（罗湖分店）	20160829696	陈力	深圳	806	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-29 17:10:39
私房小站（罗湖分店）	20160831570	唐雅嘉	深圳	589	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-31 21:27:36
私房小站（盐田分店）	20160801417	苗宇怡	深圳	165	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-01 11:11:11
私房小站（盐田分店）	20160802631	姚丽	深圳	168	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-02 17:57:20
私房小站（罗湖分店）	20160802613	苗欣悦	深圳	379	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-02 21:02:45
私房小站（福田分店）	20160803773	李思轩	深圳	395	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-03 20:48:08
私房小站（天河分店）	20160803660	曾天	广州	560	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-03 20:57:15
私房小站（番禺分店）	20160805545	黄可颐	广州	250	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-05 21:03:31
私房小站（福田分店）	20160806865	夏昊然	深圳	794	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-06 12:59:25
私房小站（越秀分店）	20160806447	柴豪逊	广州	642	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-06 17:24:29
私房小站（天河分店）	20160806475	张大鹏	广州	142	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-06 19:05:10
私房小站（天河分店）	20160807812	朱钰	广州	720	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-07 12:17:11
私房小站（福田分店）	20160807797	张小雨	深圳	732	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-07 12:52:21
私房小站（番禺分店）	20160808430	范妮	广州	405	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-08 12:27:57
私房小站（福田分店）	20160810716	唐轩	深圳	824	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-10 20:53:09
